userName,univId,admit,userProfileLink
143saf,432,1,http://www.edulix.com/unisearch/user.php?uid=252766
7790ashish,432,1,http://www.edulix.com/unisearch/user.php?uid=196141
AB25,432,1,http://www.edulix.com/unisearch/user.php?uid=226830
abhijitg,432,1,http://www.edulix.com/unisearch/user.php?uid=10967
abhijitgang,432,1,http://www.edulix.com/unisearch/user.php?uid=11013
abhishek001,432,1,http://www.edulix.com/unisearch/user.php?uid=145
agteakash,432,1,http://www.edulix.com/unisearch/user.php?uid=265528
alankarMIS,432,1,http://www.edulix.com/unisearch/user.php?uid=130432
amandeepsharma89,432,1,http://www.edulix.com/unisearch/user.php?uid=6415
amatelia3,432,1,http://www.edulix.com/unisearch/user.php?uid=4175
ananthvenky,432,1,http://www.edulix.com/unisearch/user.php?uid=140750
anujajayku,432,1,http://www.edulix.com/unisearch/user.php?uid=11478
anujku,432,1,http://www.edulix.com/unisearch/user.php?uid=9799
anujku007,432,1,http://www.edulix.com/unisearch/user.php?uid=9885
Anurag2791,432,1,http://www.edulix.com/unisearch/user.php?uid=179271
ApoorvaVerma,432,1,http://www.edulix.com/unisearch/user.php?uid=216407
arji,432,1,http://www.edulix.com/unisearch/user.php?uid=4174
ashwinsathy,432,1,http://www.edulix.com/unisearch/user.php?uid=164178
asrivas2,432,1,http://www.edulix.com/unisearch/user.php?uid=166272
balakumar-s,432,1,http://www.edulix.com/unisearch/user.php?uid=219195
bannu12345,432,1,http://www.edulix.com/unisearch/user.php?uid=131454
bharathinaidu,432,1,http://www.edulix.com/unisearch/user.php?uid=173306
bshah8214,432,1,http://www.edulix.com/unisearch/user.php?uid=157721
chetanprabhu1988,432,1,http://www.edulix.com/unisearch/user.php?uid=123789
churiver86,432,1,http://www.edulix.com/unisearch/user.php?uid=4574
cjs,432,1,http://www.edulix.com/unisearch/user.php?uid=164799
codey666,432,1,http://www.edulix.com/unisearch/user.php?uid=223245
Curio,432,1,http://www.edulix.com/unisearch/user.php?uid=213591
dhar353,432,1,http://www.edulix.com/unisearch/user.php?uid=9565
dingbat059,432,1,http://www.edulix.com/unisearch/user.php?uid=165965
dshrenik,432,1,http://www.edulix.com/unisearch/user.php?uid=59951
eduserbbm,432,1,http://www.edulix.com/unisearch/user.php?uid=171065
girish34,432,1,http://www.edulix.com/unisearch/user.php?uid=213713
Girish_Shirodkar,432,1,http://www.edulix.com/unisearch/user.php?uid=176910
greenpepper,432,1,http://www.edulix.com/unisearch/user.php?uid=117905
gulsher,432,1,http://www.edulix.com/unisearch/user.php?uid=155988
honeyshahi,432,1,http://www.edulix.com/unisearch/user.php?uid=270354
jitrc,432,1,http://www.edulix.com/unisearch/user.php?uid=6714
jsd,432,1,http://www.edulix.com/unisearch/user.php?uid=156653
Kani_m,432,1,http://www.edulix.com/unisearch/user.php?uid=170427
KENT,432,1,http://www.edulix.com/unisearch/user.php?uid=137859
Kingslife,432,1,http://www.edulix.com/unisearch/user.php?uid=92377
Kopite,432,1,http://www.edulix.com/unisearch/user.php?uid=168193
koushikcrez19,432,1,http://www.edulix.com/unisearch/user.php?uid=9718
kunalbajaj23,432,1,http://www.edulix.com/unisearch/user.php?uid=7797
lathika_amin,432,1,http://www.edulix.com/unisearch/user.php?uid=9000
lionelmessi,432,1,http://www.edulix.com/unisearch/user.php?uid=152805
looser4mheart,432,1,http://www.edulix.com/unisearch/user.php?uid=8150
lordawaken,432,1,http://www.edulix.com/unisearch/user.php?uid=147444
mahathivaduguru,432,1,http://www.edulix.com/unisearch/user.php?uid=194487
manastonapi,432,1,http://www.edulix.com/unisearch/user.php?uid=137898
mayureshp,432,1,http://www.edulix.com/unisearch/user.php?uid=2567
Mba-aspirant,432,1,http://www.edulix.com/unisearch/user.php?uid=145207
MenTaLLyMenTaL,432,1,http://www.edulix.com/unisearch/user.php?uid=128845
mirthychaos,432,1,http://www.edulix.com/unisearch/user.php?uid=11863
mohamedsuhail.1990,432,1,http://www.edulix.com/unisearch/user.php?uid=244062
neeharmukne,432,1,http://www.edulix.com/unisearch/user.php?uid=249563
ninny.rgs,432,1,http://www.edulix.com/unisearch/user.php?uid=10367
nitishpcmaster,432,1,http://www.edulix.com/unisearch/user.php?uid=120851
